country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal,variable
Not classified,,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
OECD members,OED,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
OECD members,OED,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
OECD members,OED,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
OECD members,OED,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
OECD members,OED,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
Other small states,OSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
Other small states,OSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
Other small states,OSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
Other small states,OSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
Other small states,OSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
Pacific island small states,PSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
Pacific island small states,PSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
Pacific island small states,PSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
Pacific island small states,PSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
Pacific island small states,PSS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
Post-demographic dividend,PST,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
Post-demographic dividend,PST,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
Post-demographic dividend,PST,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
Post-demographic dividend,PST,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
Post-demographic dividend,PST,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
Pre-demographic dividend,PRE,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
Pre-demographic dividend,PRE,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
Pre-demographic dividend,PRE,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
Pre-demographic dividend,PRE,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
Pre-demographic dividend,PRE,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
Small states,SST,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
Small states,SST,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
Small states,SST,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
Small states,SST,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
Small states,SST,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
South Asia,SAS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
South Asia,SAS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
South Asia,SAS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
South Asia,SAS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
South Asia,SAS,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
South Asia (IDA & IBRD),TSA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
South Asia (IDA & IBRD),TSA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
South Asia (IDA & IBRD),TSA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
South Asia (IDA & IBRD),TSA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
South Asia (IDA & IBRD),TSA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
Sub-Saharan Africa,SSF,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
Sub-Saharan Africa,SSF,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
Sub-Saharan Africa,SSF,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
