scheme,iso3,flip_rate,modal_profile,country,conversion_profile,modal_equals_baseline
dirichlet_moderate,FIN,0.0040000000000000036,effective converters,Finland,effective converters,True
dirichlet_moderate,FJI,0.02400000000000002,adaptive over-performers,Fiji,adaptive over-performers,True
dirichlet_moderate,FRA,0.0,effective converters,France,effective converters,True
dirichlet_moderate,GBR,0.006000000000000005,capacity under-realizers,United Kingdom,capacity under-realizers,True
dirichlet_moderate,GEO,0.0,uncertain / data-limited systems,Georgia,uncertain / data-limited systems,True
dirichlet_moderate,GRC,0.0,uncertain / data-limited systems,Greece,uncertain / data-limited systems,True
dirichlet_moderate,GTM,0.0,adaptive over-performers,Guatemala,adaptive over-performers,True
dirichlet_moderate,HRV,0.006000000000000005,capacity under-realizers,Croatia,capacity under-realizers,True
dirichlet_moderate,HUN,0.030000000000000027,capacity under-realizers,Hungary,capacity under-realizers,True
dirichlet_moderate,IRL,0.03400000000000003,effective converters,Ireland,effective converters,True
dirichlet_moderate,IRN,0.19999999999999996,structurally vulnerable systems,"Iran, Islamic Rep.",structurally vulnerable systems,True
dirichlet_moderate,ISL,0.0,effective converters,Iceland,effective converters,True
dirichlet_moderate,ISR,0.30600000000000005,effective converters,Israel,effective converters,True
dirichlet_moderate,ITA,0.02200000000000002,capacity under-realizers,Italy,capacity under-realizers,True
dirichlet_moderate,JAM,0.0040000000000000036,adaptive over-performers,Jamaica,adaptive over-performers,True
dirichlet_moderate,JOR,0.0,uncertain / data-limited systems,Jordan,uncertain / data-limited systems,True
dirichlet_moderate,JPN,0.0,effective converters,Japan,effective converters,True
dirichlet_moderate,KAZ,0.31399999999999995,capacity under-realizers,Kazakhstan,capacity under-realizers,True
dirichlet_moderate,KGZ,0.03400000000000003,adaptive over-performers,Kyrgyz Republic,adaptive over-performers,True
dirichlet_moderate,KNA,0.07599999999999996,structurally vulnerable systems,St. Kitts and Nevis,structurally vulnerable systems,True
dirichlet_moderate,KOR,0.19999999999999996,effective converters,"Korea, Rep.",effective converters,True
dirichlet_moderate,KWT,0.06799999999999995,capacity under-realizers,Kuwait,capacity under-realizers,True
dirichlet_moderate,LBN,0.014000000000000012,structurally vulnerable systems,Lebanon,structurally vulnerable systems,True
dirichlet_moderate,LTU,0.0,uncertain / data-limited systems,Lithuania,uncertain / data-limited systems,True
dirichlet_moderate,LUX,0.0,effective converters,Luxembourg,effective converters,True
dirichlet_moderate,LVA,0.0,uncertain / data-limited systems,Latvia,uncertain / data-limited systems,True
dirichlet_moderate,MDA,0.0,uncertain / data-limited systems,Moldova,uncertain / data-limited systems,True
dirichlet_moderate,MDV,0.0020000000000000018,capacity under-realizers,Maldives,capacity under-realizers,True
dirichlet_moderate,MEX,0.0020000000000000018,structurally vulnerable systems,Mexico,structurally vulnerable systems,True
dirichlet_moderate,MKD,0.276,structurally vulnerable systems,North Macedonia,structurally vulnerable systems,True
dirichlet_moderate,MLT,0.0,uncertain / data-limited systems,Malta,uncertain / data-limited systems,True
dirichlet_moderate,MNE,0.0,uncertain / data-limited systems,Montenegro,uncertain / data-limited systems,True
dirichlet_moderate,MNG,0.0040000000000000036,adaptive over-performers,Mongolia,adaptive over-performers,True
dirichlet_moderate,MUS,0.0,uncertain / data-limited systems,Mauritius,uncertain / data-limited systems,True
dirichlet_moderate,MYS,0.008000000000000007,adaptive over-performers,Malaysia,adaptive over-performers,True
dirichlet_moderate,NAM,0.0,adaptive over-performers,Namibia,adaptive over-performers,True
dirichlet_moderate,NIC,0.0,uncertain / data-limited systems,Nicaragua,uncertain / data-limited systems,True
dirichlet_moderate,NLD,0.010000000000000009,effective converters,Netherlands,effective converters,True
dirichlet_moderate,NOR,0.0020000000000000018,effective converters,Norway,effective converters,True
dirichlet_moderate,NZL,0.0,effective converters,New Zealand,effective converters,True
dirichlet_moderate,OMN,0.0,uncertain / data-limited systems,Oman,uncertain / data-limited systems,True
dirichlet_moderate,PAN,0.274,structurally vulnerable systems,Panama,structurally vulnerable systems,True
dirichlet_moderate,PER,0.0020000000000000018,structurally vulnerable systems,Peru,structurally vulnerable systems,True
dirichlet_moderate,PHL,0.04600000000000004,adaptive over-performers,Philippines,adaptive over-performers,True
dirichlet_moderate,POL,0.01200000000000001,capacity under-realizers,Poland,capacity under-realizers,True
dirichlet_moderate,PRT,0.016000000000000014,capacity under-realizers,Portugal,capacity under-realizers,True
dirichlet_moderate,PRY,0.0020000000000000018,structurally vulnerable systems,Paraguay,structurally vulnerable systems,True
dirichlet_moderate,PSE,0.09999999999999998,adaptive over-performers,West Bank and Gaza,adaptive over-performers,True
dirichlet_moderate,QAT,0.09599999999999997,capacity under-realizers,Qatar,capacity under-realizers,True
dirichlet_moderate,ROU,0.41800000000000004,capacity under-realizers,Romania,capacity under-realizers,True
dirichlet_moderate,RUS,0.0,uncertain / data-limited systems,Russian Federation,uncertain / data-limited systems,True
dirichlet_moderate,SGP,0.0,uncertain / data-limited systems,Singapore,uncertain / data-limited systems,True
dirichlet_moderate,SLV,0.014000000000000012,adaptive over-performers,El Salvador,adaptive over-performers,True
dirichlet_moderate,SMR,0.0,uncertain / data-limited systems,San Marino,uncertain / data-limited systems,True
