model,repeat,fold,n_train,n_test,rmse,mae
huber,1,0,84,22,1760.2915361434275,1215.5446177992999
huber,1,1,85,21,2036.307112357088,1645.3664556372587
huber,1,2,85,21,2034.4559354592382,1524.1343562989564
huber,1,3,85,21,1527.128318791212,1183.6970835488858
huber,1,4,85,21,1582.3088214033462,1290.2099349616847
huber,2,0,84,22,1806.5000721311021,1312.0093829044424
huber,2,1,85,21,1443.7438103857282,1171.706308504919
huber,2,2,85,21,2192.038135085403,1583.1933621662374
huber,2,3,85,21,1272.2924756102727,1048.267879499459
huber,2,4,85,21,1965.4421618698389,1639.641639718162
huber,3,0,84,22,2505.7685012935744,1922.569749302402
huber,3,1,85,21,1590.402408612921,1245.300357850295
huber,3,2,85,21,1669.2537268525546,1301.8041365140843
huber,3,3,85,21,1905.318531750814,1517.8366882918842
huber,3,4,85,21,1534.4250892820814,1190.0697222724727
huber,4,0,84,22,1251.8621271538973,1021.0097576455302
huber,4,1,85,21,1563.4220120893408,1327.659985958187
huber,4,2,85,21,2166.409952909235,1638.8930542419846
huber,4,3,85,21,2312.0515621148475,1800.6755837564858
huber,4,4,85,21,1523.1783234187758,1150.6643339696511
huber,5,0,84,22,1473.680997956261,1114.875736293212
huber,5,1,85,21,2340.340318890814,1729.3021606219252
huber,5,2,85,21,2289.077093029291,1877.0791656851175
huber,5,3,85,21,1884.3628408791246,1582.8535951085696
huber,5,4,85,21,1100.6931748826078,909.3883961919346
huber,6,0,84,22,1864.6400449144446,1632.5890743472446
huber,6,1,85,21,1654.7880237655445,1167.9697781057619
huber,6,2,85,21,1589.496442278778,1158.956247205676
huber,6,3,85,21,1831.0162528914798,1409.86111065992
huber,6,4,85,21,2177.843594914243,1673.350713833001
huber,7,0,84,22,1692.3990198942158,1160.1216197277167
huber,7,1,85,21,1587.57403690377,1313.0723784740283
huber,7,2,85,21,2319.4069293657694,1700.3690803291076
huber,7,3,85,21,1546.865836272123,1335.7242754350038
huber,7,4,85,21,1946.8913545651155,1595.0709924218218
huber,8,0,84,22,2052.71280759812,1669.7239074593804
huber,8,1,85,21,2055.8877251026793,1627.7947501973697
huber,8,2,85,21,1375.0047053251083,1128.9734713503465
huber,8,3,85,21,1762.692603223471,1419.905780287371
huber,8,4,85,21,1784.4601017628731,1390.979636207497
huber,9,0,84,22,2235.9427936255825,1739.3828686261927
huber,9,1,85,21,1369.791144628861,1124.2753982694471
huber,9,2,85,21,1962.5959879031248,1543.271357592796
huber,9,3,85,21,1760.2195804224307,1240.5975160768483
huber,9,4,85,21,1608.8661148093815,1299.594624340382
huber,10,0,84,22,2329.179095572487,1694.9200458304833
huber,10,1,85,21,1447.0694560355093,1121.477018884631
huber,10,2,85,21,1658.435091623084,1336.80264337414
huber,10,3,85,21,1880.986308389397,1602.354942345372
huber,10,4,85,21,1975.5647909965376,1496.3826840001936
huber,11,0,84,22,1725.0605594848612,1323.0933761773174
huber,11,1,85,21,1694.5250048082978,1205.0241079198913
huber,11,2,85,21,2104.3928466047296,1628.1067813650343
huber,11,3,85,21,1545.8237222774915,1247.390906493978
huber,11,4,85,21,1519.1337372875728,1169.0452805927057
huber,12,0,84,22,1638.240529816175,1351.4350220339497
huber,12,1,85,21,1827.3400583250886,1308.8260249805567
huber,12,2,85,21,2338.8529271456023,1896.0072646217072
huber,12,3,85,21,1274.2843278071696,1055.0589294464648
huber,12,4,85,21,1516.3171522897658,1284.3925050626601
huber,13,0,84,22,1368.2803099581404,1058.8878210812557
huber,13,1,85,21,1803.367441923869,1311.8359299809258
huber,13,2,85,21,1532.1652365623936,1318.2407041900908
huber,13,3,85,21,1985.9321390018101,1603.9262817376352
huber,13,4,85,21,2112.958776553937,1565.155593905653
huber,14,0,84,22,2189.2750061114957,1800.1131959724755
huber,14,1,85,21,1569.1285712444144,1286.0025077398652
huber,14,2,85,21,2175.35437854682,1665.1199661584756
huber,14,3,85,21,1271.5514107076651,933.570454967638
huber,14,4,85,21,1649.4774847740646,1239.4964309062195
huber,15,0,84,22,1575.4578631434074,1073.9855799503466
huber,15,1,85,21,2049.581136447124,1547.6870695164687
huber,15,2,85,21,1316.3372548173759,1020.5071112058993
huber,15,3,85,21,1785.7902948242609,1452.2198281266017
huber,15,4,85,21,2157.825813802137,1662.9052630008616
huber,16,0,84,22,1617.954311947068,1243.734162213361
huber,16,1,85,21,2382.0151166012306,1884.0446344815773
huber,16,2,85,21,1989.685573689692,1537.8691448187094
huber,16,3,85,21,1282.9861885508108,1028.8011222566274
huber,16,4,85,21,1336.3098639474542,1049.6159771989994
huber,17,0,84,22,1932.002141174727,1481.0624297286688
huber,17,1,85,21,1639.345736726373,1335.80493238091
huber,17,2,85,21,2357.351515299811,1851.6770256441444
huber,17,3,85,21,1141.1216835354387,990.2325482898427
huber,17,4,85,21,1703.9313168874767,1165.2342479113959
huber,18,0,84,22,2015.3003222352224,1581.3870830589308
huber,18,1,85,21,1748.2742960952362,1414.1376255158077
huber,18,2,85,21,1348.0335934927803,984.492447979643
huber,18,3,85,21,2492.287986509766,2098.6434410191364
huber,18,4,85,21,1823.9618547489258,1348.6723141781952
huber,19,0,84,22,1567.6183213065779,1186.4154069409406
huber,19,1,85,21,1927.6438280912118,1488.2559575904777
