iso3,country,model_version,observed_shock_burden,predicted_shock_burden,residual_observed_minus_expected,n_model_sample,n_candidate_validation_countries,missing_count_due_to_model_covariates,missing_rate_due_to_model_covariates,cv_rmse,prediction_interval_low,prediction_interval_high
CAN,Canada,ridge,1420.5111,2348.4527926154033,-927.9416926154033,106,108,2,0.01851851851851849,1764.982016555163,1583.0386081281952,3360.8371310073326
NLD,Netherlands,ridge,2329.8596,3111.9890693963334,-782.1294693963337,106,108,2,0.01851851851851849,1764.982016555163,2338.126904997842,3733.3454653441095
MDV,Maldives,ridge,1109.1743,16.798199274564013,1092.376100725436,106,108,2,0.01851851851851849,1764.982016555163,-1505.0830656899095,1015.2643072875884
GBR,United Kingdom,ridge,2703.8333,3095.3774537333816,-391.5441537333818,106,108,2,0.01851851851851849,1764.982016555163,2528.8203877661517,3557.268178609026
ESP,Spain,ridge,2906.9697,3263.9835357886086,-357.0138357886085,106,108,2,0.01851851851851849,1764.982016555163,2715.6847229255636,3750.9296027808127
SVK,Slovak Republic,ridge,5343.659,3088.583458626464,2255.0755413735355,106,108,2,0.01851851851851849,1764.982016555163,2650.1530168862396,3524.6281194973817
PRT,Portugal,ridge,2965.186,3702.310942615842,-737.124942615842,106,108,2,0.01851851851851849,1764.982016555163,2979.9457036712643,4348.128314451503
HRV,Croatia,ridge,5616.296,4035.7770592755655,1580.5189407244347,106,108,2,0.01851851851851849,1764.982016555163,3468.507196456049,4554.759653218523
AND,Andorra,ridge,1773.4039,2427.9327117447538,-654.5288117447537,106,108,2,0.01851851851851849,1764.982016555163,1895.488510561274,2888.40320719485
ITA,Italy,ridge,4042.4766,3745.4697504988844,297.00684950111554,106,108,2,0.01851851851851849,1764.982016555163,2946.470260827212,4404.987099154573
URY,Uruguay,ridge,2126.0981,2841.744167258217,-715.646067258217,106,108,2,0.01851851851851849,1764.982016555163,2165.0995200247435,3681.259995282581
BLR,Belarus,ridge,9591.885,4875.089768000801,4716.795231999199,106,108,2,0.01851851851851849,1764.982016555163,3830.968532054881,5921.226026070567
QAT,Qatar,ridge,519.23267,-208.1749471653402,727.4076171653402,106,108,2,0.01851851851851849,1764.982016555163,-1355.3358349840537,567.6097174986396
ISR,Israel,ridge,1356.6249,1429.2856722525914,-72.66077225259141,106,108,2,0.01851851851851849,1764.982016555163,906.033494307484,1872.3214177653974
MLT,Malta,ridge,1495.4257,2533.374821304886,-1037.9491213048861,106,108,2,0.01851851851851849,1764.982016555163,1676.409044101367,3351.014874487127
HUN,Hungary,ridge,4209.2827,4349.684885378956,-140.40218537895635,106,108,2,0.01851851851851849,1764.982016555163,3545.2741853322564,5067.226036534966
ARG,Argentina,ridge,4112.5483,3211.275826774515,901.2724732254856,106,108,2,0.01851851851851849,1764.982016555163,2379.2431766548043,4119.8142419572705
ARE,United Arab Emirates,ridge,607.97754,-283.9066378489033,891.8841778489033,106,108,2,0.01851851851851849,1764.982016555163,-1167.0877178166706,416.814079146297
KWT,Kuwait,ridge,1601.9636,366.40982104372324,1235.5537789562768,106,108,2,0.01851851851851849,1764.982016555163,-340.8330068433886,906.2693915886331
POL,Poland,ridge,4447.032,3667.629509298451,779.4024907015491,106,108,2,0.01851851851851849,1764.982016555163,3168.310155666893,4146.700787085948
