iso3,country,bottleneck_block,bottleneck_probability,n_simulations,coverage_count,missing_count,missing_rate
THA,Thailand,equity_access,0.0,1000,106,0,0.0
MDA,Moldova,capacity,0.986,1000,106,0,0.0
MDA,Moldova,preparedness,0.0,1000,106,0,0.0
MDA,Moldova,vulnerability,0.014,1000,106,0,0.0
MDA,Moldova,equity_access,0.0,1000,106,0,0.0
PAN,Panama,capacity,1.0,1000,106,0,0.0
PAN,Panama,preparedness,0.0,1000,106,0,0.0
PAN,Panama,vulnerability,0.0,1000,106,0,0.0
PAN,Panama,equity_access,0.0,1000,106,0,0.0
GEO,Georgia,capacity,0.97,1000,106,0,0.0
GEO,Georgia,preparedness,0.0,1000,106,0,0.0
GEO,Georgia,vulnerability,0.0,1000,106,0,0.0
GEO,Georgia,equity_access,0.03,1000,106,0,0.0
KGZ,Kyrgyz Republic,capacity,1.0,1000,106,0,0.0
KGZ,Kyrgyz Republic,preparedness,0.0,1000,106,0,0.0
KGZ,Kyrgyz Republic,vulnerability,0.0,1000,106,0,0.0
KGZ,Kyrgyz Republic,equity_access,0.0,1000,106,0,0.0
DZA,Algeria,capacity,1.0,1000,106,0,0.0
DZA,Algeria,preparedness,0.0,1000,106,0,0.0
DZA,Algeria,vulnerability,0.0,1000,106,0,0.0
DZA,Algeria,equity_access,0.0,1000,106,0,0.0
SLV,El Salvador,capacity,1.0,1000,106,0,0.0
SLV,El Salvador,preparedness,0.0,1000,106,0,0.0
SLV,El Salvador,vulnerability,0.0,1000,106,0,0.0
SLV,El Salvador,equity_access,0.0,1000,106,0,0.0
MNE,Montenegro,capacity,1.0,1000,106,0,0.0
MNE,Montenegro,preparedness,0.0,1000,106,0,0.0
MNE,Montenegro,vulnerability,0.0,1000,106,0,0.0
MNE,Montenegro,equity_access,0.0,1000,106,0,0.0
BLZ,Belize,capacity,1.0,1000,106,0,0.0
BLZ,Belize,preparedness,0.0,1000,106,0,0.0
BLZ,Belize,vulnerability,0.0,1000,106,0,0.0
BLZ,Belize,equity_access,0.0,1000,106,0,0.0
MYS,Malaysia,capacity,1.0,1000,106,0,0.0
MYS,Malaysia,preparedness,0.0,1000,106,0,0.0
MYS,Malaysia,vulnerability,0.0,1000,106,0,0.0
MYS,Malaysia,equity_access,0.0,1000,106,0,0.0
TJK,Tajikistan,capacity,1.0,1000,106,0,0.0
TJK,Tajikistan,preparedness,0.0,1000,106,0,0.0
TJK,Tajikistan,vulnerability,0.0,1000,106,0,0.0
TJK,Tajikistan,equity_access,0.0,1000,106,0,0.0
MUS,Mauritius,capacity,1.0,1000,106,0,0.0
MUS,Mauritius,preparedness,0.0,1000,106,0,0.0
MUS,Mauritius,vulnerability,0.0,1000,106,0,0.0
MUS,Mauritius,equity_access,0.0,1000,106,0,0.0
ARM,Armenia,capacity,0.837,1000,106,0,0.0
ARM,Armenia,preparedness,0.0,1000,106,0,0.0
ARM,Armenia,vulnerability,0.0,1000,106,0,0.0
ARM,Armenia,equity_access,0.163,1000,106,0,0.0
MEX,Mexico,capacity,1.0,1000,106,0,0.0
MEX,Mexico,preparedness,0.0,1000,106,0,0.0
MEX,Mexico,vulnerability,0.0,1000,106,0,0.0
MEX,Mexico,equity_access,0.0,1000,106,0,0.0
BHS,"Bahamas, The",capacity,1.0,1000,106,0,0.0
BHS,"Bahamas, The",preparedness,0.0,1000,106,0,0.0
BHS,"Bahamas, The",vulnerability,0.0,1000,106,0,0.0
BHS,"Bahamas, The",equity_access,0.0,1000,106,0,0.0
BTN,Bhutan,capacity,1.0,1000,106,0,0.0
BTN,Bhutan,preparedness,0.0,1000,106,0,0.0
BTN,Bhutan,vulnerability,0.0,1000,106,0,0.0
BTN,Bhutan,equity_access,0.0,1000,106,0,0.0
JAM,Jamaica,capacity,1.0,1000,106,0,0.0
JAM,Jamaica,preparedness,0.0,1000,106,0,0.0
JAM,Jamaica,vulnerability,0.0,1000,106,0,0.0
JAM,Jamaica,equity_access,0.0,1000,106,0,0.0
LBN,Lebanon,capacity,1.0,1000,106,0,0.0
LBN,Lebanon,preparedness,0.0,1000,106,0,0.0
LBN,Lebanon,vulnerability,0.0,1000,106,0,0.0
LBN,Lebanon,equity_access,0.0,1000,106,0,0.0
PRY,Paraguay,capacity,1.0,1000,106,0,0.0
PRY,Paraguay,preparedness,0.0,1000,106,0,0.0
PRY,Paraguay,vulnerability,0.0,1000,106,0,0.0
PRY,Paraguay,equity_access,0.0,1000,106,0,0.0
FJI,Fiji,capacity,1.0,1000,106,0,0.0
FJI,Fiji,preparedness,0.0,1000,106,0,0.0
FJI,Fiji,vulnerability,0.0,1000,106,0,0.0
FJI,Fiji,equity_access,0.0,1000,106,0,0.0
PER,Peru,capacity,1.0,1000,106,0,0.0
PER,Peru,preparedness,0.0,1000,106,0,0.0
PER,Peru,vulnerability,0.0,1000,106,0,0.0
PER,Peru,equity_access,0.0,1000,106,0,0.0
CPV,Cabo Verde,capacity,1.0,1000,106,0,0.0
CPV,Cabo Verde,preparedness,0.0,1000,106,0,0.0
CPV,Cabo Verde,vulnerability,0.0,1000,106,0,0.0
CPV,Cabo Verde,equity_access,0.0,1000,106,0,0.0
MNG,Mongolia,capacity,1.0,1000,106,0,0.0
MNG,Mongolia,preparedness,0.0,1000,106,0,0.0
MNG,Mongolia,vulnerability,0.0,1000,106,0,0.0
MNG,Mongolia,equity_access,0.0,1000,106,0,0.0
SUR,Suriname,capacity,1.0,1000,106,0,0.0
SUR,Suriname,preparedness,0.0,1000,106,0,0.0
SUR,Suriname,vulnerability,0.0,1000,106,0,0.0
SUR,Suriname,equity_access,0.0,1000,106,0,0.0
EGY,"Egypt, Arab Rep.",capacity,1.0,1000,106,0,0.0
EGY,"Egypt, Arab Rep.",preparedness,0.0,1000,106,0,0.0
EGY,"Egypt, Arab Rep.",vulnerability,0.0,1000,106,0,0.0
EGY,"Egypt, Arab Rep.",equity_access,0.0,1000,106,0,0.0
AZE,Azerbaijan,capacity,1.0,1000,106,0,0.0
AZE,Azerbaijan,preparedness,0.0,1000,106,0,0.0
AZE,Azerbaijan,vulnerability,0.0,1000,106,0,0.0
AZE,Azerbaijan,equity_access,0.0,1000,106,0,0.0
UKR,Ukraine,capacity,0.996,1000,106,0,0.0
UKR,Ukraine,preparedness,0.004,1000,106,0,0.0
UKR,Ukraine,vulnerability,0.0,1000,106,0,0.0
UKR,Ukraine,equity_access,0.0,1000,106,0,0.0
DOM,Dominican Republic,capacity,1.0,1000,106,0,0.0
DOM,Dominican Republic,preparedness,0.0,1000,106,0,0.0
DOM,Dominican Republic,vulnerability,0.0,1000,106,0,0.0
DOM,Dominican Republic,equity_access,0.0,1000,106,0,0.0
BOL,Bolivia,capacity,1.0,1000,106,0,0.0
BOL,Bolivia,preparedness,0.0,1000,106,0,0.0
BOL,Bolivia,vulnerability,0.0,1000,106,0,0.0
BOL,Bolivia,equity_access,0.0,1000,106,0,0.0
GTM,Guatemala,capacity,1.0,1000,106,0,0.0
GTM,Guatemala,preparedness,0.0,1000,106,0,0.0
GTM,Guatemala,vulnerability,0.0,1000,106,0,0.0
GTM,Guatemala,equity_access,0.0,1000,106,0,0.0
PHL,Philippines,capacity,1.0,1000,106,0,0.0
PHL,Philippines,preparedness,0.0,1000,106,0,0.0
PHL,Philippines,vulnerability,0.0,1000,106,0,0.0
PHL,Philippines,equity_access,0.0,1000,106,0,0.0
ZAF,South Africa,capacity,0.519,1000,106,0,0.0
ZAF,South Africa,preparedness,0.481,1000,106,0,0.0
ZAF,South Africa,vulnerability,0.0,1000,106,0,0.0
ZAF,South Africa,equity_access,0.0,1000,106,0,0.0
NAM,Namibia,capacity,0.288,1000,106,0,0.0
NAM,Namibia,preparedness,0.712,1000,106,0,0.0
NAM,Namibia,vulnerability,0.0,1000,106,0,0.0
NAM,Namibia,equity_access,0.0,1000,106,0,0.0
