iso3,country,region,income_group,potential_capacity_score,potential_capacity_rank_point,median_potential_capacity_rank,potential_rank_p05,potential_rank_p95,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,capacity_score,preparedness_score,vulnerability_score,equity_access_score,expanded_feature_missing_count,expanded_feature_missing_rate,n_valid_pipelines,n_countries_in_sample,n_indicators
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,0.6501454007497245,91,88.0,54.75,96.0,0.0333333333333333,0.0,0.21484375,0.3317152029949079,0.8719689879667554,0.6767504291276911,0.7201469829095438,0,0.0,60,193,26
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.6490773240471281,92,96.0,78.5,113.0,0.0,0.0,0.1796875,0.2542673301460795,0.8443272353045255,0.7553194495008495,0.7423952812370581,0,0.0,60,193,26
DMA,Dominica,Latin America & Caribbean ,Upper middle income,0.6483251716035098,93,92.0,88.0,100.0,0.0,0.0,0.0625,0.3440806211298222,0.9032418160110532,0.6047602982406856,0.7412179510324783,2,0.0769230769230769,60,193,26
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,0.6480007768591318,94,94.0,86.95,98.05,0.0,0.0,0.0578124999999999,0.3694577590601324,0.8834736436967887,0.5989970298532373,0.740074674826369,0,0.0,60,193,26
MNE,Montenegro,Europe & Central Asia,Upper middle income,0.6477545124955246,95,81.5,56.0,112.0,0.0,0.0,0.2916666666666667,0.5126032821767527,0.6703444256780262,0.6929378044056801,0.7151325377216396,0,0.0,60,193,26
LKA,Sri Lanka,South Asia,Lower middle income,0.6477008450464888,96,91.0,43.0,113.15,0.1,0.0,0.3653645833333332,0.1899266334096221,0.9682850936923582,0.7529169738176473,0.6796746792663276,0,0.0,60,193,26
BLZ,Belize,Latin America & Caribbean ,Upper middle income,0.6459885184203296,97,90.0,44.95,116.15,0.0833333333333333,0.0,0.3708333333333333,0.1845481518563255,0.8652466029814967,0.7259879734102914,0.8081713454332043,0,0.0,60,193,26
MYS,Malaysia,East Asia & Pacific,Upper middle income,0.6456944397265684,98,96.5,83.0,118.0,0.0,0.0,0.1822916666666666,0.2291338827416733,0.9145985435053348,0.7111663135976891,0.7278790190615761,1,0.0384615384615384,60,193,26
TJK,Tajikistan,Europe & Central Asia,Lower middle income,0.6357559129066745,99,95.5,67.4,110.0,0.0,0.0,0.2218749999999999,0.3499546768118913,0.9214354407742822,0.6826989523373221,0.5889345817032028,0,0.0,60,193,26
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,0.6346337579052626,100,83.0,68.0,112.2,0.0,0.0,0.2302083333333332,0.3330310308730893,0.9426166152682652,0.6202816841723293,0.6426057013073662,2,0.0769230769230769,60,193,26
ARM,Armenia,Europe & Central Asia,Upper middle income,0.6346016951006593,101,107.0,79.8,135.0,0.0,0.0,0.2875,0.4732849256029421,0.9163214042247854,0.6415149075582738,0.5072855430166362,0,0.0,60,193,26
MEX,Mexico,Latin America & Caribbean ,Upper middle income,0.6295156707444782,102,105.5,100.0,118.0,0.0,0.0,0.09375,0.2638600782104646,0.834289803866633,0.6905645268805292,0.729348274020286,0,0.0,60,193,26
BHS,"Bahamas, The",Latin America & Caribbean ,High income,0.6272271607997593,103,99.0,81.0,114.05,0.0,0.0,0.1721354166666666,0.3548022405378866,0.8258192258773593,0.6158999980284617,0.7123871787553294,1,0.0384615384615384,60,193,26
BTN,Bhutan,South Asia,Lower middle income,0.6260503846584147,104,105.5,56.8,123.25,0.0,0.0,0.3460937499999999,0.1205530925308737,0.8514114305809429,0.7092362861309001,0.8230007293909417,0,0.0,60,193,26
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,0.6236573755955415,105,106.0,81.0,119.1,0.0,0.0,0.1984374999999999,0.2282760912104227,0.8809742637247908,0.6509635969585903,0.7344155504883616,0,0.0,60,193,26
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,0.6230590832895327,106,109.0,99.0,115.0,0.0,0.0,0.0833333333333333,0.2990039826459934,0.9642564590376924,0.6336296311541779,0.5953462603202672,1,0.0384615384615384,60,193,26
GRD,Grenada,Latin America & Caribbean ,Upper middle income,0.6224522850556857,107,97.0,84.0,110.0,0.0,0.0,0.1354166666666666,0.2911663844123551,0.9151535956660868,0.6419917381565539,0.6414974219877472,2,0.0769230769230769,60,193,26
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.6207577583141333,108,99.5,85.0,123.1,0.0,0.0,0.1984374999999999,0.3822786569165964,0.7926950458636233,0.6585748480252485,0.6494824824510651,1,0.0384615384615384,60,193,26
